,grad_0,grad_1,ma_grad_score
0,-0.004761827089921,-0.0023402037422222,0.0
1,-0.0036541573618397,-0.0029437088473586,0.0
2,-0.002782010696073,-0.0031245047547763,0.0
3,-0.0007575771715078,-0.002406411278331,0.0
4,-0.000566591447809,-0.002037176318037,0.0
5,0.0004901971278536,-0.0020499085822998,0.5
6,0.0021835972559788,-0.0015176986620656,0.5
7,0.0028775017750406,-0.001224854930644,0.5
8,0.0035141054516926,-0.000730839177616,0.5
9,0.0048509487777478,0.0002240901506224,1.0
10,-0.0006111547937352,-9.421972562573852e-05,0.0
11,-0.001336899556734,0.0011128102287193,0.5
12,-0.0017252353596845,0.0013190742806775,0.5
13,-0.001094984928678,-9.676620466587508e-05,0.0
14,-0.0006366195601656,-0.0003055774672693,0.0
15,-0.0001400563476621,-2.546479098253773e-06,0.0
16,-0.0010695202113757,-0.0001094985997689,0.0
17,-0.0006748167059741,-0.0009243712598576,0.0
18,0.0016806722945095,-0.0016832187558366,0.5
19,0.0021326682595109,-0.0017035904443877,0.5
20,0.0006175209855212,-0.0018971213059364,0.5
21,0.0001336901502285,-0.00165775414027,0.5
22,-3.1830988595389373e-05,-0.0013496318954972,0.0
23,-0.0022918212799013,-0.0017748913266533,0.0
24,-0.0031703402580062,-0.0017876236224262,0.0
25,-0.0010695202113795,-0.0012757843159711,0.0
26,-0.0006366195601543,-0.0007512109827386,0.0
27,0.0001718873343516,0.000728292701872,1.0
28,0.0025973942588972,0.0021976027251385,1.0
29,0.0046090466213416,0.002923337447208,1.0
30,0.0063214265705237,0.0031168655010631,1.0
31,0.0017888968519258,0.0020906518168198,1.0
32,0.0006302533687471,0.0019735149725279,1.0
33,0.0026419568883585,0.0025210011208511,1.0
34,0.0018589244520096,0.0018360063332308,1.0
35,0.0001018591627016,0.0005118421866932,1.0
36,-0.0055830122713865,-0.0019455039679294,0.0
37,-0.0112669934570539,-0.0046472417889551,0.0
38,-0.0118652184957516,-0.0050342842195165,0.0
39,-0.0124825138411913,-0.0048611341014619,0.0
40,-0.011903402372384,-0.0046446954454873,0.0
41,-0.0122343256857259,-0.0047083539874198,0.0
42,-0.0170000721350606,-0.0064398259533931,0.0
43,-0.0162875453061545,-0.0054849802347257,0.0
44,-0.0119097663435028,-0.0023402037422226,0.0
