,date,buy_price,ATR,candle_size,stop_loss,sell_marker,risk
0,1626988679999,2021.15,1.8562681408048949,2.4699999999998,2018.5337318591955,2024.86253628161,1.419
1,1626990299999,2026.13,1.744508733120339,4.120000000000118,2022.10549126688,2029.6190174662408,0.867
2,1626997319999,2024.33,3.2623338566035955,3.550000000000182,2019.0676661433963,2030.8546677132072,1.24
3,1626999839999,2027.27,3.1959310514875208,3.5499999999999545,2023.8140689485124,2033.661862102975,1.85
4,1627001099999,2026.34,2.9910883702319424,1.7700000000002092,2022.878911629768,2032.322176740464,1.728
5,1627003439999,2032.76,2.320969292851416,1.3799999999998818,2029.6690307071483,2037.4019385857027,1.502
6,1627004279999,2059.08,3.9241758943523934,17.529999999999973,2038.545824105648,2066.9283517887047,0.382
7,1627005959999,2065.78,3.603399721979382,3.799999999999727,2058.566600278021,2072.986799443959,0.999
8,1627013579999,2064.66,2.1997946815352445,2.7100000000000364,2061.6102053184645,2069.0595893630702,1.443
9,1627014419999,2069.76,2.794761946289338,3.2200000000002547,2064.6552380537105,2075.349523892579,1.095
10,1627016279999,2075.67,2.9017340601709223,4.369999999999891,2070.7282659398293,2081.4734681203417,1.174
11,1627018739999,2085.54,4.021452969221913,5.4699999999998,2081.498547030778,2093.582905938444,1.99
12,1627036919999,2054.99,2.820043280308852,2.7100000000000364,2050.319956719691,2060.6300865606177,1.208
13,1627038479999,2066.29,3.2884936458405982,7.989999999999782,2058.72150635416,2072.866987291681,0.869
14,2021-06-21 05:22:00,2108.3,7.480215623024873,10.400000000000093,2091.019784376975,2123.26043124605,0.866
15,2021-06-21 05:51:00,2131.8,5.081564350760647,4.900000000000091,2122.3184356492397,2141.9631287015213,1.072
16,2021-06-21 06:14:00,2147.11039347,3.718865149424392,4.5,2140.181134850576,2154.5481237688487,1.073
17,2021-06-21 08:06:00,2016.9,6.121385987208571,7.299999999999954,2003.7786140127916,2029.1427719744167,0.933
18,2021-06-21 08:23:00,2033.2,5.390568812030336,2.9788734799999474,2026.4305577079697,2043.9811376240607,1.593
19,2021-06-21 09:57:00,2016.9,8.21656340193532,5.358545840000033,2005.1435084080647,2033.3331268038708,1.398
20,2021-06-21 11:47:00,1970.0,11.167919460211726,21.707324280000197,1939.524756259788,1992.3358389204236,0.733
21,2021-06-21 14:27:00,1985.85700924,6.408797684796194,6.25935329999993,1973.188858255204,1998.6746046095925,1.012
22,2021-06-21 15:14:00,1997.89899889,6.036167768264618,3.966659209999989,1988.5638322317352,2009.9713344265288,1.293
23,2021-06-21 16:21:00,1971.6,6.791879849061785,11.259346140000162,1954.308120150938,1985.1837596981236,0.786
24,2021-06-21 17:30:00,1933.7,6.079934684933926,3.7000000000000455,1923.920065315066,1945.859869369868,1.243
25,2021-06-21 17:35:00,1948.72894774,6.277148971890753,6.928947740000012,1935.5228510281088,1961.2832456837812,0.951
26,2021-06-21 18:35:00,1935.9,4.461536385546185,6.300000000000182,1925.1384636144537,1944.8230727710925,0.829
27,2021-06-21 20:45:00,1956.0,4.279639997494486,3.899999999999864,1948.120360002505,1964.559279994989,1.086
28,2021-06-21 23:20:00,1912.3,6.034551527812864,13.399999999999864,1894.165448472187,1924.3691030556256,0.666
29,2021-06-21 23:27:00,1923.0,6.8821587743500725,4.599999999999909,1912.11784122565,1936.7643175487,1.265
30,2021-06-22 00:45:00,1908.0,5.964306164762671,6.2999999999999545,1895.935693835237,1919.928612329525,0.989
31,2021-06-22 01:24:00,1959.52193894,8.5175385596631,6.899999999999864,1945.182461440337,1976.557016059326,1.188
32,2021-06-22 03:13:00,1969.14126573,4.350839185521181,4.741265729999896,1960.049160814479,1977.8429441010423,0.957
33,2021-06-22 03:33:00,1976.2,4.433419623759116,5.437620939999988,1967.028959436241,1985.0668392475184,0.967
34,2021-06-22 03:49:00,1992.9,5.418870897634164,7.379790540000158,1980.1013385623655,2003.7377417952684,0.847
35,2021-06-22 04:08:00,1972.2,3.9624686338197113,2.8980003200001647,1966.31549523618,1980.12493726764,1.347
36,2021-06-22 06:36:00,1950.9,3.707423056661874,6.900000000000091,1941.2925769433384,1958.314846113324,0.772
37,2021-06-22 07:12:00,1947.0,3.568356103800693,5.099999999999909,1939.8316438961997,1954.1367122076012,0.996
38,2021-06-22 07:41:00,1954.6,3.2863060786451626,1.7999999999999543,1949.5136939213548,1961.17261215729,1.292
39,2021-06-22 11:07:00,1891.3,6.283856264139926,8.675860820000025,1881.04028291586,1903.86771252828,1.225
40,2021-06-22 13:15:00,1797.3,11.353583785417898,17.179723680000052,1768.946416214582,1820.007167570836,0.801
41,2021-06-22 14:38:00,1762.72470244,7.952816465543072,7.900000000000091,1752.047183534457,1778.6303353710862,1.49
42,2021-06-22 14:48:00,1779.6,7.281564391195593,8.5,1765.6184356088045,1794.1631287823911,1.042
43,2021-06-22 15:16:00,1825.02307028,8.974735125857437,6.599999999999909,1811.0252648741423,1842.972540531715,1.282
44,2021-06-22 17:50:00,1902.4,5.149299587724192,4.96421582999983,1892.750700412276,1912.6985991754484,1.067
45,2021-06-22 18:11:00,1904.7,5.283689838339692,6.322767260000092,1893.98527000166,1915.2673796766796,0.986
46,2021-06-22 18:59:00,1938.4,4.939065681002655,3.900000000000091,1932.0609343189972,1948.2781313620053,1.558
47,2021-06-22 20:33:00,1917.4,4.990066621896202,4.5,1907.909933378104,1927.3801332437924,1.052
48,2021-06-22 20:52:00,1933.6,4.187785599862865,4.699999999999818,1924.712214400137,1941.9755711997257,0.942
