1627049759999,2072.27,2069.26,2072.27,2069.66,nan,nan
1627049819999,2069.8,2067.31,2069.8,2068.99,nan,nan
1627049879999,2070.88,2067.72,2068.99,2068.79,nan,nan
1627049939999,2069.2,2068.15,2068.79,2068.65,nan,nan
1627049999999,2069.92,2066.95,2068.65,2068.14,nan,nan
1627050059999,2069.69,2067.76,2068.08,2068.91,nan,nan
1627050119999,2070.0,2067.79,2068.91,2068.41,nan,nan
1627050179999,2069.7,2068.05,2068.64,2068.9,nan,nan
1627050239999,2069.81,2068.5,2068.99,2068.79,nan,nan
1627050299999,2070.66,2068.7,2068.79,2070.45,nan,nan
1627050359999,2071.95,2069.86,2070.44,2070.19,nan,nan
1627050419999,2070.96,2068.81,2070.19,2070.34,nan,nan
1627050479999,2071.77,2070.16,2070.34,2070.9,nan,nan
1627050539999,2070.89,2068.71,2070.89,2069.54,nan,nan
1627050599999,2069.7,2068.37,2069.5,2069.35,nan,nan
1627050659999,2071.39,2069.32,2069.34,2070.31,nan,nan
1627050719999,2070.92,2068.97,2070.35,2069.6,nan,nan
1627050779999,2069.6,2065.35,2069.6,2065.69,nan,nan
1627050839999,2067.69,2065.11,2065.78,2066.03,nan,nan
1627050899999,2066.64,2064.31,2065.82,2064.32,nan,nan
1627050959999,2065.32,2062.67,2064.45,2063.09,nan,nan
1627051019999,2064.19,2062.04,2063.08,2062.72,nan,nan
